id;Full_Name;Project_id;Nomination;Prize;Login;Password
279;Фортунат Валерианович Ермаков;1080;Проект будущего;378000;ВЕФортунат;1yght(j.fp
280;Маргарита Игоревна Горбачева;5387;Лидеры инноваций;2958000;ИГМаргарита;a)wk9cpkpf
281;Вероника Никифоровна Егорова;3701;Меняющие реальность;1344000;НЕВероника;l6?ztiv3sv
282;Наум Всеволодович Прохоров;4237;Молодой новатор;2391000;ВПНаум;?!inxeiicn
283;Василий Харламович Бобылев;7603;Меняющие реальность;2318000;ХБВасилий;5ttgm5meat
284;Евфросиния Ждановна Кудряшова;8557;Молодой новатор;899000;ЖКЕвфросиния;(nqc.otgc.
285;Фадей Жанович Лыткин;6503;Меняющие реальность;985000;ЖЛФадей;8l0bpyz9ws
286;Фирс Жанович Афанасьев;3973;Проект будущего;1673000;ЖАФирс;mkelg6cn?a
287;Дарья Романовна Миронова;1305;Проект будущего;2992000;РМДарья;rfcaw?2zwc
288;Анастасия Андреевна Кузьмина;4056;Лидеры инноваций;291000;АКАнастасия;geddvooy24
289;Святослав Васильевич Мишин;2067;Меняющие реальность;1749000;ВМСвятослав;9s(xahkdw8
290;Фёкла Макаровна Коновалова;7134;Молодой новатор;1690000;МКФёкла;jbqczliol8
291;Полина Рубеновна Хохлова;3821;Меняющие реальность;1155000;РХПолина;p7tatmjlnu
292;Акулина Даниловна Данилова;2292;Молодой новатор;1535000;ДДАкулина;tjrozf2zmu
293;Зоя Ивановна Симонова;1070;Двигатель прогресса;864000;ИСЗоя;l1u9qai).?
294;Нинель Натановна Маслова;7779;Меняющие реальность;1042000;НМНинель;ewb3gdxepu
295;Нинель Львовна Ковалева;6007;Проект будущего;2781000;ЛКНинель;80chlzcg12
296;Евпраксия Степановна Логинова;6428;Лидеры инноваций;2001000;СЛЕвпраксия;db3dnbquid
297;Синклитикия Вениаминовна Зимина;4214;Двигатель прогресса;327000;ВЗСинклитикия;7eshcb0ivw
298;Мечислав Викентьевич Рыбаков;1443;Лидеры инноваций;1069000;ВРМечислав;hkejqt8egp
299;Платон Филимонович Попов;7954;Меняющие реальность;1013000;ФППлатон;11gxn4rxcg
300;Валерия Богдановна Шашкова;3106;Проект будущего;2730000;БШВалерия;t7xbzxt))d
301;Изот Якубович Филатов;3561;Двигатель прогресса;2638000;ЯФИзот;layyyif?tc
302;Валерий Игнатьевич Максимов;3296;Проект будущего;143000;ИМВалерий;baxjm(w!8.
303;Эмилия Олеговна Морозова;1604;Лидеры инноваций;357000;ОМЭмилия;6jisr3bcfh
304;Фаина Аркадьевна Королева;7821;Меняющие реальность;2301000;АКФаина;4dup4pmu(h
305;Карл Ильясович Бирюков;6517;Лидеры инноваций;2973000;ИБКарл;dtp2tppbc9
306;Агафья Артемовна Ершова;9454;Лидеры инноваций;1342000;АЕАгафья;u)(tvsxhvz
307;Исай Эдгарович Мартынов;5379;Двигатель прогресса;379000;ЭМИсай;ev(vmorh)7
308;Федор Харлампович Фомичев;7090;Двигатель прогресса;1842000;ХФФедор;grwsi.ikvj
309;Афанасий Ильич Петухов;3898;Двигатель прогресса;2682000;ИПАфанасий;pj!obr51v7
310;Агафья Владиславовна Павлова;2172;Меняющие реальность;1235000;ВПАгафья;thitth0zmd
311;Григорий Афанасьевич Муравьев;2152;Лидеры инноваций;1345000;АМГригорий;dn3)thgi4a
312;Нинель Антоновна Калашникова;4923;Проект будущего;1316000;АКНинель;q2hmiesjhc
313;Януарий Давыдович Мухин;7197;Меняющие реальность;1644000;ДМЯнуарий;p1h7p8yiou
314;Алла Олеговна Куликова;5906;Двигатель прогресса;1167000;ОКАлла;cef2syn(fg
315;Ананий Елисеевич Лукин;2200;Двигатель прогресса;1454000;ЕЛАнаний;aq4jjhqycs
316;Дарья Афанасьевна Симонова;6761;Молодой новатор;1323000;АСДарья;0enpiwq.g1
317;Евгения Тимуровна Цветкова;3393;Молодой новатор;2979000;ТЦЕвгения;ctlzje?xfk
318;Рубен Геннадиевич Громов;1604;Лидеры инноваций;1417000;ГГРубен;wabj)5jr3s
319;Василиса Петровна Котова;7134;Проект будущего;2815000;ПКВасилиса;tucvo(apyq
320;Савва Валерианович Фадеев;3952;Меняющие реальность;2440000;ВФСавва;gyjx9d0cc?
321;Панкрат Владиславович Бобров;1420;Двигатель прогресса;2515000;ВБПанкрат;c3jbj(tsli
322;Кира Феликсовна Лобанова;5003;Лидеры инноваций;1682000;ФЛКира;kps965trjk
323;Сигизмунд Гурьевич Лобанов;4945;Двигатель прогресса;2742000;ГЛСигизмунд;4is1zrry?l
324;Любовь Борисовна Никонова;2987;Лидеры инноваций;1965000;БНЛюбовь;n3sj0bdpwo
325;Любомир Вилорович Терентьев;2172;Меняющие реальность;2949000;ВТЛюбомир;ma?owbh!hy
326;Максим Власович Кудрявцев;9961;Меняющие реальность;2079000;ВКМаксим;1v?cunjdml
327;Сократ Ерофеевич Антонов;8031;Двигатель прогресса;2086000;ЕАСократ;b.mtnyh!tr
328;Ирина Артемовна Зуева;2822;Проект будущего;2481000;АЗИрина;cvervqqyw1
329;Лазарь Фёдорович Лапин;4201;Меняющие реальность;2788000;ФЛЛазарь;9sfwf!hyf.
330;Прокл Анатольевич Баранов;4058;Лидеры инноваций;NULL;АБПрокл;a.jynpcgse
331;Мартын Исидорович Мишин;1754;Проект будущего;545000;ИММартын;csfqdu)sl5
332;Потап Якубович Князев;7078;Молодой новатор;2932000;ЯКПотап;bfybua.3ml
333;София Львовна Шубина;4143;Лидеры инноваций;1761000;ЛШСофия;0adomd246w
334;Раиса Геннадиевна Кондратьева;3556;Молодой новатор;2070000;ГКРаиса;rq?pue.jnq
335;Вера Эдуардовна Воробьева;1206;Меняющие реальность;677000;ЭВВера;h8qz6ohuba
336;Стоян Марсович Кириллов;4097;Меняющие реальность;888000;МКСтоян;zcaaj.anvb
337;Феоктист Еремеевич Кононов;1266;Двигатель прогресса;2749000;ЕКФеоктист;?n9mgl(vuo
338;Лучезар Аверьянович Селиверстов;7702;Молодой новатор;2786000;АСЛучезар;l.6!aycfjf
339;Евфросиния Робертовна Шашкова;2897;Двигатель прогресса;1848000;РШЕвфросиния;7np3g7qxu!
340;Порфирий Евстигнеевич Лыткин;4307;Молодой новатор;NULL;ЕЛПорфирий;r6krklfq3)
341;Жанна Феликсовна Васильева;1904;Меняющие реальность;1524000;ФВЖанна;6chk)e2f8e
342;Пелагея Кирилловна Гаврилова;7211;Меняющие реальность;2236000;КГПелагея;yoa3weqxz3
343;Валентин Бенедиктович Гордеев;1775;Лидеры инноваций;639000;БГВалентин;loc0ix!ltq
344;Евдокия Константиновна Власова;4201;Молодой новатор;1005000;КВЕвдокия;sdhc5(ysac
345;Евфросиния Викторовна Ермакова;4495;Меняющие реальность;256000;ВЕЕвфросиния;fyyrv0xqhb
346;Фёкла Сергеевна Ковалева;8165;Двигатель прогресса;691000;СКФёкла;i.5.t3re?6
347;Полина Дмитриевна Кулакова;7003;Лидеры инноваций;2769000;ДКПолина;jfev6ewmcj
348;Елена Робертовна Кудряшова;7293;Проект будущего;1247000;РКЕлена;sx(e7g(ng)
349;Наталья Эльдаровна Воробьева;4724;Лидеры инноваций;812000;ЭВНаталья;n8jznkgx)x
350;Лариса Аскольдовна Иванова;1832;Двигатель прогресса;2477000;АИЛариса;ocqpb3ykbn
351;Феофан Захарьевич Петухов;5981;Двигатель прогресса;2100000;ЗПФеофан;pn0b2ov9kc
352;Евсей Гурьевич Горбачев;5699;Меняющие реальность;2439000;ГГЕвсей;oum3dgfxrm
353;Лидия Федоровна Новикова;3855;Двигатель прогресса;459000;ФНЛидия;fc7wohmhr2
354;Лука Абрамович Устинов;7349;Двигатель прогресса;305000;АУЛука;zvg4wxoofe
355;Гедеон Ермолаевич Петухов;7922;Двигатель прогресса;262000;ЕПГедеон;0fcletv7bj
356;Нестор Харлампович Кононов;9719;Двигатель прогресса;2248000;ХКНестор;tt81uweulg
357;Будимир Гавриилович Котов;8526;Двигатель прогресса;707000;ГКБудимир;7wcft6i38r
358;Исидор Власович Родионов;5332;Меняющие реальность;1258000;ВРИсидор;jk2rpd(x!x
359;Наталья Афанасьевна Шестакова;6485;Проект будущего;925000;АШНаталья;tc8fjzf!rs
360;Николай Эдуардович Гаврилов;5387;Меняющие реальность;NULL;ЭГНиколай;rqpfa2carl
361;Юрий Устинович Кононов;8684;Двигатель прогресса;1151000;УКЮрий;okjvt)hgkn
362;Любовь Никифоровна Прохорова;9578;Проект будущего;1067000;НПЛюбовь;wpcm)iytg7
363;Харлампий Бенедиктович Анисимов;6761;Молодой новатор;2104000;БАХарлампий;9tzzqnw99a
364;Оксана Анатольевна Блинова;3701;Лидеры инноваций;420000;АБОксана;z1e1j8j6gq
365;Ксения Феликсовна Галкина;6735;Меняющие реальность;2811000;ФГКсения;va1kfvqow6
366;Октябрина Робертовна Игнатьева;6155;Лидеры инноваций;899000;РИОктябрина;pxn8dk9uqe
367;Гурий Брониславович Кудрявцев;6415;Лидеры инноваций;1217000;БКГурий;k?yywlzbyh
368;София Харитоновна Гордеева;3356;Молодой новатор;2970000;ХГСофия;xx?yw9knka
369;Зинаида Никифоровна Пестова;8851;Лидеры инноваций;2119000;НПЗинаида;y)nf!y)uxg
370;Сократ Ильясович Веселов;1266;Лидеры инноваций;171000;ИВСократ;9xjoejaez9
371;Аникита Викентьевич Родионов;8287;Лидеры инноваций;271000;ВРАникита;tds(5fle7.
372;Эмилия Викторовна Лобанова;8287;Двигатель прогресса;2120000;ВЛЭмилия;1hvs.6jqqy
373;Аристарх Устинович Шубин;8080;Лидеры инноваций;953000;УШАристарх;ea1ldqhye!
374;Ярополк Давидович Поляков;8587;Меняющие реальность;1323000;ДПЯрополк;w?jtie)i8i
375;Полина Николаевна Мишина;7524;Двигатель прогресса;NULL;НМПолина;ndijqcr3ru
376;Светлана Яковлевна Лазарева;7762;Лидеры инноваций;1166000;ЯЛСветлана;f3mn4q0cfj
377;Алексей Жоресович Савельев;5078;Проект будущего;1591000;ЖСАлексей;wwlqkivq64
378;Панкрат Артурович Чернов;7293;Молодой новатор;982000;АЧПанкрат;qalb)me?ww
379;Евстигней Ермолаевич Фадеев;5379;Проект будущего;927000;ЕФЕвстигней;hxx!thgmlp
380;Тихон Фокич Смирнов;9178;Двигатель прогресса;1220000;ФСТихон;iux2g.0scp
381;Устин Эдуардович Мишин;9465;Меняющие реальность;2036000;ЭМУстин;c!feuwcxxf
382;Валерия Архиповна Шашкова;2726;Меняющие реальность;1165000;АШВалерия;eawojj!ezp
383;Полина Ефимовна Казакова;9251;Проект будущего;1739000;ЕКПолина;qp.dfb(pbi
384;Дорофей Ефремович Соболев;3128;Меняющие реальность;1452000;ЕСДорофей;wazb)t4uob
385;Павел Афанасьевич Комаров;6506;Меняющие реальность;327000;АКПавел;w0dy73lwao
386;Галактион Ефимович Наумов;9516;Лидеры инноваций;2520000;ЕНГалактион;ch3jcqj?dm
387;Анжела Богдановна Егорова;6891;Меняющие реальность;722000;БЕАнжела;bawsf326nq
388;Анжелика Архиповна Трофимова;5491;Меняющие реальность;NULL;АТАнжелика;gaky?wdwsv
389;Вячеслав Иларионович Кононов;1904;Проект будущего;2070000;ИКВячеслав;4yfritgbej
390;Фома Августович Красильников;4428;Лидеры инноваций;NULL;АКФома;y!ksrbtsj6
391;Ипат Феодосьевич Ефремов;5045;Проект будущего;NULL;ФЕИпат;tocw?cha.6
392;Ратибор Захарьевич Васильев;5211;Молодой новатор;190000;ЗВРатибор;gslfdzh5zf
393;Татьяна Егоровна Моисеева;8185;Проект будущего;2503000;ЕМТатьяна;nbn!1vkvc7
394;Фотий Афанасьевич Логинов;3383;Молодой новатор;2912000;АЛФотий;ab4p6)vq7m
395;Парфен Глебович Одинцов;3554;Меняющие реальность;693000;ГОПарфен;xqjnh7qf94
396;Мефодий Харлампьевич Овчинников;2034;Проект будущего;1061000;ХОМефодий;v3au8.nj)s
397;Серафим Архипович Мельников;9110;Проект будущего;2604000;АМСерафим;u6rpku8s2w
398;Вера Валериевна Кузнецова;6790;Проект будущего;2471000;ВКВера;gjf2hqttfe
399;Анна Евгеньевна Дроздова;9110;Проект будущего;2852000;ЕДАнна;fpjbu?7gyh
400;Виктория Эльдаровна Голубева;1300;Проект будущего;NULL;ЭГВиктория;f!klnpuq)i
